Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.414598, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.751626, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.15738, 0.955917, 1, 0, 0, 0.943815, 0, 0.955508, 0, 0.961875, 0
1.5022, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
1.90399, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
2.30194, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
2.65909, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
3.05681, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
3.39359, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
3.74252, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
4.09143, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
4.49734, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
4.84626, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
5.19114, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
5.58096, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
5.95441, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
6.30748, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
6.67276, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
7.04606, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
7.40285, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
7.80482, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
8.15393, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
8.55979, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
