Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.35348, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.718852, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.10887, 0.955917, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.44587, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
1.7829, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
2.14423, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
2.48543, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
2.87519, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
3.23239, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
3.618, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
4.03206, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
4.4298, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
4.82729, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
5.21679, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
5.6349, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
5.97586, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
6.35326, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
6.69004, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
7.08775, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
7.42459, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
7.77783, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
8.12684, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
8.53266, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
8.87354, 0.948779, 0.940365, 0.332789, 0.332789, 0.940365, 0, 0.940365, 0, 0.940365, 0
9.25097, 0.936019, 0.934987, 1.00654, 1.00654, 0.93056, 0, 0.93056, 0, 0.93056, 0
9.62871, 0.919867, 0.923424, 1.73746, 1.73746, 0.915664, 0, 0.923424, 0, 0.923424, 0
9.97799, 0.910192, 0.910143, 2.60662, 2.60662, 0.906758, 0, 0.910143, 0, 0.910143, 0
10.3678, 0.904202, 0.904297, 3.33758, 3.33758, 0.901549, 0, 0.901549, 0, 0.904297, 0
10.7495, 0.899215, 0.899167, 3.80036, 3.80036, 0.892669, 0, 0.899167, 0, 0.899167, 0
11.1635, 0.899215, 0.892669, 3.80036, 3.80036, 0.892669, 0, 0.892669, 0, 0.892669, 0
11.5289, 0.899215, 0.892669, 3.80036, 3.80036, 0.892669, 0, 0.892669, 0, 0.892669, 0
11.9306, 0.899215, 0.892669, 3.80036, 3.80036, 0.892669, 0, 0.892669, 0, 0.892669, 0
12.3204, 0.898731, 0.892669, 4.13318, 3.80036, 0.892669, 0.33282, 0.892669, 0, 0.892669, 0
12.6696, 0.89704, 0.892135, 4.66921, 3.80036, 0.892135, 0.868849, 0.891927, 0, 0.892135, 0
13.0065, 0.896869, 0.891901, 5.47307, 3.80036, 0.891901, 1.67271, 0.891901, 0, 0.891901, 0
13.3719, 0.896769, 0.891849, 6.13887, 3.80036, 0.891849, 2.33852, 0.891758, 0, 0.891849, 0
13.7172, 0.896448, 0.891693, 6.53681, 3.80036, 0.891693, 2.73645, 0.891693, 0, 0.891693, 0
14.1151, 0.896302, 0.891354, 7.07293, 3.80036, 0.891393, 3.27258, 0.891354, 0, 0.891393, 0
14.5333, 0.896198, 0.891328, 7.73885, 3.80036, 0.891328, 3.93849, 0.89125, 0, 0.891328, 0
14.9026, 0.895913, 0.891185, 8.33951, 3.80036, 0.891185, 4.53915, 0.891107, 0, 0.891185, 0
15.2882, 0.895617, 0.891042, 8.54238, 3.80036, 0.891042, 4.74202, 0.890768, 0, 0.891042, 0
15.6453, 0.895617, 0.890768, 8.54238, 3.80036, 0.890768, 4.74202, 0.890768, 0, 0.890768, 0
16.0025, 0.895617, 0.890768, 8.54238, 3.80036, 0.890768, 4.74202, 0.890768, 0, 0.890768, 0
16.3799, 0.895617, 0.890768, 8.54238, 3.80036, 0.890768, 4.74202, 0.890768, 0, 0.890768, 0
16.7653, 0.895617, 0.890768, 8.54238, 3.80036, 0.890768, 4.74202, 0.890768, 0, 0.890768, 0
17.1227, 0.895362, 0.890768, 9.01341, 3.80036, 0.890768, 5.21306, 0.890768, 0, 0.890768, 0
17.4961, 0.894592, 0.890456, 9.61412, 3.80036, 0.890456, 5.81376, 0.890065, 0, 0.890065, 0
17.8738, 0.894179, 0.889922, 10.0771, 3.80036, 0.889922, 6.27673, 0.889844, 0, 0.889922, 0
18.2148, 0.893979, 0.889596, 10.7429, 3.80036, 0.889596, 6.94256, 0.889557, 0, 0.889596, 0
18.5641, 0.891473, 0.889401, 11.4089, 3.80036, 0.889401, 7.60856, 0.886979, 0, 0.889557, 0
18.9051, 0.887444, 0.886263, 12.0748, 3.80036, 0.886263, 8.27443, 0.884466, 0, 0.886263, 0
19.2462, 0.880477, 0.88125, 12.6757, 3.80036, 0.88125, 8.8753, 0.877526, 0, 0.88125, 0
19.6319, 0.871719, 0.87556, 13.4063, 3.80036, 0.87556, 9.6059, 0.871914, 0, 0.87556, 0
20.0462, 0.869423, 0.869401, 13.6095, 3.80036, 0.866302, 9.80914, 0.864232, 0, 0.866302, 0
20.4077, 0.869423, 0.864232, 13.6095, 3.80036, 0.864232, 9.80914, 0.864232, 0, 0.864232, 0
20.7976, 0.869423, 0.864232, 13.6095, 3.80036, 0.864232, 9.80914, 0.864232, 0, 0.864232, 0
21.1996, 0.869423, 0.864232, 13.7394, 3.80036, 0.864232, 9.80914, 0.864232, 0.129909, 0.864232, 0
21.5895, 0.869021, 0.864232, 14.5435, 3.80036, 0.864232, 9.80914, 0.864232, 0.933988, 0.863724, 0
21.9792, 0.868021, 0.863385, 15.5677, 3.80036, 0.862721, 9.80914, 0.863503, 1.95822, 0.862721, 0
22.3405, 0.868021, 0.862682, 16.1133, 3.80036, 0.862682, 9.80914, 0.862682, 2.50378, 0.862682, 0
22.6856, 0.868021, 0.862682, 16.9054, 3.80036, 0.862682, 9.80914, 0.862682, 3.29589, 0.862682, 0
23.0268, 0.868021, 0.862682, 18.1346, 3.80036, 0.862682, 9.80914, 0.862682, 4.52513, 0.862682, 0
23.4003, 0.867794, 0.862682, 18.9183, 3.80036, 0.862682, 9.80914, 0.862682, 5.30884, 0.862682, 0
23.7373, 0.866885, 0.862669, 19.8599, 3.80036, 0.861602, 9.80914, 0.861615, 6.25045, 0.861602, 0
24.1149, 0.866681, 0.861589, 20.594, 3.80036, 0.861589, 9.80914, 0.861576, 6.98455, 0.861393, 0
24.4598, 0.866556, 0.861302, 21.3785, 3.80036, 0.861341, 9.80914, 0.861302, 7.76901, 0.861302, 0
24.7964, 0.86616, 0.861146, 22.1841, 3.80036, 0.861081, 9.80914, 0.861146, 8.57455, 0.861081, 0
25.2184, 0.864929, 0.860495, 23.022, 3.80036, 0.860807, 9.80914, 0.860495, 9.41254, 0.860169, 0
25.5714, 0.862156, 0.859674, 23.8254, 3.80036, 0.858854, 9.80914, 0.859674, 10.2159, 0.857891, 0
25.9204, 0.858827, 0.857018, 24.629, 3.80036, 0.857018, 9.80914, 0.857018, 11.0195, 0.854909, 0
26.2572, 0.847883, 0.843385, 25.4091, 3.80036, 0.843385, 9.80914, 0.849635, 11.7996, 0.843385, 0
26.6264, 0.816879, 0.82737, 26.0903, 3.80036, 0.842995, 9.80914, 0.842995, 12.4808, 0.814336, 0
26.9998, 0.79985, 0.800404, 26.8858, 3.80036, 0.800404, 9.80914, 0.800404, 13.2763, 0.797083, 0
27.3977, 0.79756, 0.795872, 27.6246, 3.80036, 0.795872, 9.80914, 0.795872, 14.0151, 0.79474, 0
27.7387, 0.79519, 0.79474, 28.4202, 3.80036, 0.793359, 9.80914, 0.792539, 14.8107, 0.792539, 0
28.1039, 0.792842, 0.791211, 29.0857, 3.80036, 0.789948, 9.80914, 0.791211, 15.4762, 0.788984, 0
28.4976, 0.791006, 0.788138, 29.8245, 3.80036, 0.787279, 9.80914, 0.788138, 16.215, 0.786849, 0
28.8587, 0.790783, 0.786849, 29.9543, 3.80036, 0.786849, 9.80914, 0.786849, 16.3448, 0.786628, 0
29.2361, 0.790783, 0.786628, 29.9543, 3.80036, 0.786628, 9.80914, 0.786628, 16.3448, 0.786628, 0
29.6338, 0.790783, 0.786628, 29.9543, 3.80036, 0.786628, 9.80914, 0.786628, 16.3448, 0.786628, 0
30.0235, 0.790717, 0.786628, 30.417, 3.80036, 0.786615, 9.80914, 0.786628, 16.8075, 0.786615, 0
30.421, 0.789669, 0.786602, 31.2852, 3.80036, 0.785664, 9.80914, 0.786602, 17.6757, 0.785326, 0
30.8064, 0.773885, 0.785312, 31.8857, 3.80036, 0.785312, 9.80914, 0.785312, 18.2762, 0.785299, 0
31.1796, 0.771606, 0.7675, 32.4213, 3.80036, 0.7675, 9.80914, 0.76625, 18.8118, 0.765898, 0
31.5205, 0.77115, 0.765625, 33.0218, 3.80036, 0.765716, 9.80914, 0.765625, 19.4123, 0.765469, 0
31.91, 0.770781, 0.764987, 34.0199, 3.80036, 0.765052, 9.80914, 0.765052, 20.4104, 0.764987, 0
32.3035, 0.770054, 0.764948, 34.6691, 3.80036, 0.764831, 9.80914, 0.764831, 21.0596, 0.764388, 0
32.6808, 0.769971, 0.764258, 35.5371, 3.80036, 0.764258, 9.80914, 0.764258, 21.9276, 0.764232, 0
33.0704, 0.769952, 0.764232, 36.2029, 3.80036, 0.764232, 9.80914, 0.764232, 22.5934, 0.764219, 0
33.4558, 0.769912, 0.764102, 37.3197, 3.80036, 0.764089, 9.80914, 0.764089, 23.7102, 0.764076, 0
33.8452, 0.769827, 0.764076, 38.1641, 3.80036, 0.764076, 9.80914, 0.764076, 24.5546, 0.764062, 0
34.2349, 0.769771, 0.763932, 39.3196, 3.80036, 0.763932, 9.80914, 0.763932, 25.7101, 0.763867, 0
34.5758, 0.76865, 0.763841, 40.169, 3.80036, 0.763854, 9.80914, 0.763841, 26.5595, 0.763841, 0
34.9492, 0.767617, 0.7625, 41.1103, 3.80036, 0.7625, 9.80914, 0.7625, 27.5008, 0.761706, 0
35.335, 0.767596, 0.761628, 41.9794, 3.80036, 0.761706, 9.80914, 0.761706, 28.3699, 0.761615, 0
35.7205, 0.767587, 0.761615, 42.7828, 3.80036, 0.761615, 9.80914, 0.761615, 29.1733, 0.761602, 0
36.1263, 0.767515, 0.76151, 43.5132, 3.80036, 0.761549, 9.80914, 0.76151, 29.9037, 0.76151, 0
36.4918, 0.767506, 0.76151, 44.4628, 3.80036, 0.76151, 9.80914, 0.76151, 30.8533, 0.761497, 0
36.8854, 0.7675, 0.761471, 45.5072, 3.80036, 0.761445, 9.80914, 0.761471, 31.8977, 0.761445, 0
37.2387, 0.767494, 0.761445, 46.449, 3.80036, 0.761445, 9.80914, 0.761445, 32.8395, 0.761445, 0
37.6285, 0.76749, 0.761445, 47.1687, 3.80036, 0.761445, 9.80914, 0.761445, 33.5592, 0.761445, 0
38.0022, 0.76749, 0.761445, 47.1687, 3.80036, 0.761445, 9.80914, 0.761445, 33.5592, 0.761445, 0
38.4002, 0.76749, 0.761445, 47.1687, 3.80036, 0.761445, 9.80914, 0.761445, 33.5592, 0.761445, 0
38.7899, 0.76749, 0.761445, 47.1687, 3.80036, 0.761445, 9.80914, 0.761445, 33.5592, 0.761445, 0
39.1268, 0.76749, 0.761445, 47.1687, 3.80036, 0.761445, 9.80914, 0.761445, 33.5592, 0.761445, 0
39.48, 0.76749, 0.761445, 47.7046, 4.33628, 0.761445, 9.80914, 0.761445, 33.5592, 0.761445, 0
39.8169, 0.767352, 0.761432, 48.5002, 5.13188, 0.761432, 9.80914, 0.761432, 33.5592, 0.761432, 0
40.2147, 0.767144, 0.761432, 49.5908, 6.22242, 0.761406, 9.80914, 0.761432, 33.5592, 0.761432, 0
40.6003, 0.767098, 0.761393, 50.351, 6.98265, 0.761393, 9.80914, 0.761406, 33.5592, 0.761393, 0
40.9495, 0.766958, 0.761159, 51.3004, 7.93206, 0.761159, 9.80914, 0.761198, 33.5592, 0.761198, 0
41.315, 0.76641, 0.760482, 52.171, 8.80262, 0.76026, 9.80914, 0.760482, 33.5592, 0.760482, 0
41.7007, 0.766217, 0.759948, 53.1429, 9.77458, 0.759883, 9.80914, 0.759948, 33.5592, 0.759883, 0
42.0785, 0.765631, 0.759805, 54.0279, 10.6595, 0.75944, 9.80914, 0.759805, 33.5592, 0.75944, 0
42.444, 0.764798, 0.758737, 54.8778, 11.5094, 0.758542, 9.80914, 0.759128, 33.5592, 0.758737, 0
42.8379, 0.764798, 0.758229, 54.8778, 11.5094, 0.758229, 9.80914, 0.758229, 33.5592, 0.758229, 0
43.2276, 0.764798, 0.758229, 55.1458, 11.7774, 0.758229, 9.80914, 0.758229, 33.5592, 0.758229, 0
43.597, 0.764542, 0.758125, 55.8841, 12.5157, 0.758125, 9.80914, 0.758125, 33.5592, 0.758125, 0
43.9866, 0.764531, 0.758125, 56.8285, 13.4602, 0.758125, 9.80914, 0.758125, 33.5592, 0.758125, 0
44.3643, 0.764504, 0.758125, 57.4295, 14.0612, 0.758125, 9.80914, 0.758125, 33.5592, 0.758125, 0
44.7379, 0.764492, 0.758125, 58.1603, 14.792, 0.758125, 9.80914, 0.758125, 33.5592, 0.758125, 0
45.1276, 0.76449, 0.758125, 59.1434, 15.775, 0.758125, 9.80914, 0.758125, 33.5592, 0.758125, 0
45.485, 0.76449, 0.758125, 59.8198, 16.4515, 0.758125, 9.80914, 0.758125, 33.5592, 0.758125, 0
45.8584, 0.764425, 0.758112, 60.6692, 17.3008, 0.758073, 9.80914, 0.758125, 33.5592, 0.758112, 0
46.2484, 0.762402, 0.757812, 61.8985, 18.5302, 0.756732, 9.80914, 0.757812, 33.5592, 0.757812, 0
46.6339, 0.759671, 0.754023, 62.7557, 19.3873, 0.752826, 9.80914, 0.755339, 33.5592, 0.754023, 0
47.0034, 0.756171, 0.751107, 63.5513, 20.183, 0.751107, 9.80914, 0.752174, 33.5592, 0.752826, 0
47.381, 0.738956, 0.745872, 64.3554, 20.9871, 0.738958, 9.80914, 0.745872, 33.5592, 0.745872, 0
47.7343, 0.7146, 0.728203, 65.2963, 21.9279, 0.708203, 9.80914, 0.717826, 33.5592, 0.728203, 0
48.0915, 0.701675, 0.698633, 65.954, 22.5856, 0.69375, 9.80914, 0.698633, 33.5592, 0.698633, 0
48.4326, 0.690308, 0.690378, 66.8613, 23.4929, 0.686445, 9.80914, 0.690378, 33.5592, 0.690378, 0
48.7736, 0.684515, 0.684089, 67.5765, 24.2081, 0.679219, 9.80914, 0.684089, 33.5592, 0.684089, 0
49.1106, 0.680119, 0.673073, 68.3875, 25.0192, 0.670742, 9.80914, 0.676302, 33.5592, 0.673073, 0
49.4678, 0.678135, 0.670742, 69.2564, 25.8881, 0.669375, 9.80914, 0.670221, 33.5592, 0.670742, 0
49.8247, 0.67744, 0.668984, 69.9867, 26.6184, 0.668646, 9.80914, 0.668646, 33.5592, 0.668646, 0
50.1818, 0.676819, 0.668099, 70.587, 27.2187, 0.667904, 9.80914, 0.668099, 33.5592, 0.668333, 0
