Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
22.1527, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
22.5221, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
22.8995, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
23.281, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
23.6831, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
24.0485, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
24.3894, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
24.763, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
25.1121, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
25.4534, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
25.8191, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
26.2211, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
26.6273, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
27.0089, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
27.3905, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
27.7803, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
28.1742, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
28.5761, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
28.9414, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
29.347, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
29.7121, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
30.0692, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
30.4262, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
30.7995, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
31.1728, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
31.5383, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
31.9036, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
32.2849, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
32.6502, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
32.999, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
33.3806, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
33.7499, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
34.1475, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
34.5045, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
34.8981, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
35.2391, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
35.6167, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
36.0022, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
36.3758, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
36.782, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
37.1638, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
37.5576, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
37.931, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
38.2844, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
38.6703, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
39.0398, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
39.4256, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
39.7869, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
