Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.345668, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.698936, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.05198, 0.955917, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.46214, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
1.8438, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
2.24991, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
2.62357, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
2.98505, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
3.38308, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
3.7891, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
4.15426, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
4.54001, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
4.9257, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
5.27082, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
5.65663, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
6.00175, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
6.35076, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
6.69171, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
7.0775, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
7.46739, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
7.81228, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
8.16927, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
8.54244, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
8.94858, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
9.32608, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
9.69137, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
10.0447, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
10.4181, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
10.7592, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
11.1283, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
11.5016, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
11.8545, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
12.2318, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
12.6214, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
12.995, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
13.3644, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
13.7457, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
14.0988, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
14.4719, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
14.8169, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
15.1986, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
15.5803, 0.955917, 0.940365, 0, 0, 0.940365, 0, 0.940365, 0, 0.940365, 0
