Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.357769, 1, 1, 0, 0, 1, 0
0.747538, 1, 1, 0, 0, 1, 0
1.1168, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.51062, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.89227, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.27805, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.67591, 0.957702, 0.943815, 0.124223, 0.124223, 0.943815, 0
3.0536, 0.937827, 0.931784, 0.782093, 0.782093, 0.931784, 0
3.42729, 0.920848, 0.917891, 1.5644, 1.5644, 0.915612, 0
3.80096, 0.911683, 0.909922, 2.09811, 2.09811, 0.908542, 0
4.19098, 0.907454, 0.904297, 2.87329, 2.87329, 0.903672, 0
4.58887, 0.902852, 0.897474, 3.05601, 3.05601, 0.897474, 0
4.97884, 0.899829, 0.89651, 3.41954, 3.41954, 0.89599, 0
5.38075, 0.897473, 0.893932, 3.97826, 3.97826, 0.893281, 0
5.77464, 0.896977, 0.892292, 4.10253, 4.10253, 0.892292, 0
6.13609, 0.896977, 0.892292, 4.10253, 4.10253, 0.892292, 0
6.50567, 0.896977, 0.892292, 4.10253, 4.10253, 0.892292, 0
6.87533, 0.896977, 0.892292, 4.10253, 4.10253, 0.892292, 0
7.26927, 0.896977, 0.892292, 4.10253, 4.10253, 0.892292, 0
7.66727, 0.896977, 0.892292, 4.10253, 4.10253, 0.892292, 0
8.053, 0.896977, 0.892292, 4.10253, 4.10253, 0.892292, 0
8.43478, 0.896977, 0.892292, 4.10253, 4.10253, 0.892292, 0
8.82056, 0.896977, 0.892292, 4.10253, 4.10253, 0.892292, 0
9.21038, 0.896977, 0.892292, 4.10253, 4.10253, 0.892292, 0
9.58397, 0.896977, 0.892292, 4.16826, 4.16826, 0.892292, 0
9.94949, 0.893648, 0.888984, 4.82612, 4.82612, 0.888984, 0
10.2906, 0.889529, 0.88569, 5.42558, 5.42558, 0.884779, 0
10.6804, 0.882883, 0.878151, 6.14183, 6.14183, 0.876706, 0
11.0702, 0.87534, 0.869909, 6.86531, 6.86531, 0.869909, 0
