Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.361732, 1, 1, 0, 0, 1, 0
0.727451, 1, 1, 0, 0, 1, 0
1.10523, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.47887, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.84432, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.21784, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.58745, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.94446, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.29734, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.68317, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.065, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.4466, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.82833, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.18153, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.5673, 0.942527, 0.935911, 0.533629, 0.533629, 0.935911, 0
5.93268, 0.929069, 0.929258, 1.19867, 1.19867, 0.919896, 0
6.32247, 0.914335, 0.913203, 1.91486, 1.91486, 0.911354, 0
6.6757, 0.908967, 0.905456, 2.45562, 2.45562, 0.90444, 0
7.05318, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
7.43087, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
7.76789, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
8.1332, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
8.52716, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
8.87232, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
9.26228, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
9.63187, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
9.98101, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
10.318, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
10.655, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
11.0407, 0.902729, 0.897487, 2.9963, 2.9963, 0.897487, 0
11.4305, 0.902729, 0.897487, 3.11325, 3.11325, 0.897487, 0
11.7878, 0.892212, 0.889154, 3.42826, 3.42826, 0.887826, 0
12.1453, 0.891583, 0.88763, 4.02604, 4.02604, 0.887604, 0
12.5434, 0.890992, 0.886927, 4.53211, 4.53211, 0.886927, 0
12.9049, 0.889102, 0.88487, 5.19003, 5.19003, 0.884102, 0
13.2986, 0.885408, 0.880339, 5.91346, 5.91346, 0.879883, 0
13.6763, 0.880327, 0.87569, 6.69566, 6.69566, 0.873828, 0
14.0336, 0.874067, 0.868034, 7.23647, 7.23647, 0.866849, 0
14.3747, 0.868221, 0.863073, 7.83581, 7.83581, 0.861823, 0
14.7119, 0.863398, 0.858672, 8.37686, 8.37686, 0.857747, 0
15.0816, 0.857858, 0.853307, 9.09342, 9.09342, 0.853307, 0
15.4227, 0.850806, 0.847057, 9.57592, 9.57592, 0.843711, 0
15.7598, 0.835835, 0.834818, 10.0561, 10.0561, 0.827826, 0
16.097, 0.8123, 0.808477, 10.5351, 10.5351, 0.802995, 0
16.4584, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
16.8114, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
17.1727, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
17.5137, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
17.8914, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
18.2856, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
18.6593, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
19.033, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
19.3822, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
19.7358, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
20.077, 0.807017, 0.798138, 10.5351, 10.5351, 0.798138, 0
20.4425, 0.807017, 0.798138, 10.7762, 10.7762, 0.798138, 0
20.804, 0.803427, 0.796354, 11.4238, 11.4238, 0.796354, 0
21.1454, 0.801358, 0.794271, 11.9651, 11.9651, 0.793659, 0
21.5353, 0.79746, 0.790495, 12.6231, 12.6231, 0.789492, 0
21.8806, 0.791658, 0.782878, 13.2227, 13.2227, 0.781068, 0
22.2218, 0.780338, 0.774479, 13.888, 13.888, 0.770599, 0
22.5752, 0.770771, 0.763763, 14.4876, 14.4876, 0.760885, 0
22.9609, 0.763498, 0.756055, 15.087, 15.087, 0.752878, 0
23.3306, 0.752785, 0.745378, 15.7448, 15.7448, 0.741966, 0
23.7205, 0.741621, 0.736641, 16.2858, 16.2858, 0.729674, 0
24.0981, 0.741621, 0.729674, 16.2858, 16.2858, 0.729674, 0
24.4799, 0.741621, 0.729674, 16.2858, 16.2858, 0.729674, 0
24.8414, 0.741621, 0.729674, 16.2858, 16.2858, 0.729674, 0
25.1785, 0.741621, 0.729674, 16.2858, 16.2858, 0.729674, 0
25.5684, 0.741621, 0.729674, 16.2858, 16.2858, 0.729674, 0
25.9503, 0.741621, 0.729674, 16.2858, 16.2858, 0.729674, 0
26.3321, 0.741621, 0.729674, 16.2858, 16.2858, 0.729674, 0
26.6774, 0.741621, 0.729674, 16.2858, 16.2858, 0.729674, 0
27.0185, 0.741621, 0.729674, 16.2858, 16.2858, 0.729674, 0
