Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.361617, 1, 1, 0, 0, 1, 0
0.727276, 1, 1, 0, 0, 1, 0
1.06849, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.45023, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.84825, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.24612, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.64007, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.98118, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.36304, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.75305, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.14706, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.56562, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.93139, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.32979, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.67504, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.01612, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.40993, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.75941, 0.964656, 0.943815, 0, 0, 0.943815, 0
7.10474, 0.964656, 0.943815, 0, 0, 0.943815, 0
7.50319, 0.964656, 0.943815, 0, 0, 0.943815, 0
7.90163, 0.964656, 0.943815, 0, 0, 0.943815, 0
8.30425, 0.964656, 0.943815, 0, 0, 0.943815, 0
8.64955, 0.964656, 0.943815, 0, 0, 0.943815, 0
8.99099, 0.964656, 0.943815, 0, 0, 0.943815, 0
9.32843, 0.964656, 0.943815, 0, 0, 0.943815, 0
9.66572, 0.964656, 0.943815, 0, 0, 0.943815, 0
9.99908, 0.964656, 0.943815, 0, 0, 0.943815, 0
10.3324, 0.964656, 0.943815, 0, 0, 0.943815, 0
10.6779, 0.964656, 0.943815, 0, 0, 0.943815, 0
11.0353, 0.964656, 0.943815, 0, 0, 0.943815, 0
11.389, 0.964656, 0.943815, 0, 0, 0.943815, 0
11.771, 0.964656, 0.943815, 0, 0, 0.943815, 0
12.1165, 0.964656, 0.943815, 0, 0, 0.943815, 0
12.4985, 0.964656, 0.943815, 0, 0, 0.943815, 0
12.8885, 0.964656, 0.943815, 0, 0, 0.943815, 0
13.2906, 0.964656, 0.943815, 0, 0, 0.943815, 0
13.6929, 0.964656, 0.943815, 0, 0, 0.943815, 0
