Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.349629, 1, 1, 0, 0, 1, 0
0.759897, 1, 1, 0, 0, 1, 0
1.10514, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.48296, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.84031, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.25477, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.64888, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.03055, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.36391, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.74977, 0.941108, 0.934427, 0.599601, 0.599601, 0.932656, 0
4.12759, 0.924646, 0.923867, 1.31623, 1.31623, 0.923867, 0
4.51354, 0.91265, 0.91043, 1.92326, 1.92326, 0.91043, 0
4.86692, 0.908221, 0.906471, 2.69817, 2.69817, 0.904141, 0
5.24848, 0.902748, 0.899544, 2.99782, 2.99782, 0.897799, 0
5.63029, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
6.02436, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
6.41838, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
6.79634, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
7.19439, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
7.58858, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
7.97056, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
8.36475, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
8.70194, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
9.04732, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
9.38852, 0.902748, 0.897799, 2.99782, 2.99782, 0.897799, 0
9.77449, 0.8999, 0.896315, 3.48335, 3.48335, 0.895664, 0
10.1483, 0.897685, 0.892656, 3.95837, 3.95837, 0.893398, 0
10.5382, 0.893971, 0.89, 4.79943, 4.79943, 0.89, 0
10.9282, 0.88885, 0.885352, 5.39881, 5.39881, 0.883633, 0
11.3141, 0.882325, 0.878867, 6.18146, 6.18146, 0.877227, 0
11.6514, 0.876185, 0.870026, 6.72277, 6.72277, 0.871654, 0
12.0454, 0.868812, 0.865326, 7.38096, 7.38096, 0.863607, 0
12.3987, 0.863331, 0.858203, 8.03882, 8.03882, 0.857096, 0
12.7359, 0.856304, 0.851224, 8.57976, 8.57976, 0.851224, 0
13.0975, 0.848273, 0.844635, 9.23809, 9.23809, 0.84168, 0
13.4713, 0.832623, 0.829531, 10.0206, 10.0206, 0.829531, 0
13.8574, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
14.1946, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
14.5644, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
14.9666, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
15.3284, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
15.7144, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
16.0882, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
16.4336, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
16.7952, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
17.1649, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
17.5142, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
17.8635, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
18.2089, 0.814885, 0.806315, 10.262, 10.262, 0.806315, 0
18.5866, 0.814885, 0.806315, 10.3789, 10.3789, 0.806315, 0
18.9444, 0.812031, 0.805495, 11.0316, 11.0316, 0.805143, 0
19.2938, 0.80979, 0.802747, 11.5656, 11.5656, 0.802109, 0
19.6475, 0.805006, 0.79987, 12.2316, 12.2316, 0.798047, 0
20.0049, 0.798673, 0.79276, 12.948, 12.948, 0.791693, 0
20.3707, 0.787708, 0.784115, 13.4893, 13.4893, 0.777643, 0
20.7078, 0.779558, 0.771576, 13.9646, 13.9646, 0.770859, 0
21.0573, 0.772598, 0.764909, 14.6813, 14.6813, 0.764909, 0
21.3987, 0.76275, 0.759089, 15.2227, 15.2227, 0.756146, 0
21.7848, 0.750231, 0.740586, 15.881, 15.881, 0.740586, 0
22.1627, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
22.5282, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
22.8816, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
23.2556, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
23.6294, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
24.0194, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
24.3606, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
24.7427, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
25.0961, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
25.4453, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
25.8313, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
26.189, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
26.579, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
26.9648, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
27.3506, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
27.7406, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
28.1346, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
28.4717, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
28.8332, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
29.2109, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
29.5846, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
29.938, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
30.2914, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
30.6367, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
31.0022, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
31.3556, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
31.701, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
32.0584, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
32.4241, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
32.7636, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
33.133, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
33.5026, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
33.8845, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
34.2502, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
34.5915, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
34.961, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
35.3308, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
35.6717, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
36.0291, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
36.3664, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
36.7075, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
37.0487, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
37.4142, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
37.7635, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
38.1575, 0.748252, 0.737044, 15.9469, 15.9469, 0.737044, 0
