Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.357332, 1, 1, 0, 0, 1, 0
0.726907, 1, 1, 0, 0, 1, 0
1.11679, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.50674, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.88444, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.22575, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.57499, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.93657, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.30197, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.6593, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.02459, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.41031, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.79229, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.14573, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.51122, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.86857, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.22153, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.57883, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.96473, 0.964656, 0.943815, 0, 0, 0.943815, 0
7.33451, 0.939958, 0.935924, 0.658217, 0.658217, 0.934362, 0
7.70433, 0.924631, 0.927344, 1.31654, 1.31654, 0.923828, 0
8.07024, 0.913529, 0.911042, 1.92394, 1.92394, 0.909414, 1
8.45629, 0.908329, 0.905703, 2.64073, 2.64073, 0.905104, 1
8.83807, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
9.21168, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
9.56527, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
9.93494, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
10.272, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
10.6296, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
11.0075, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
11.3769, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
11.7261, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
12.0954, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
12.4732, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
12.8467, 0.902804, 0.897578, 2.94056, 2.94056, 0.897578, 1
13.2283, 0.90075, 0.897161, 3.30587, 3.30587, 0.896615, 1
13.6223, 0.898098, 0.894362, 4.02226, 4.02226, 0.893893, 1
13.9592, 0.895521, 0.890104, 4.62163, 4.62163, 0.889206, 1
14.3409, 0.891117, 0.886406, 5.34487, 5.34487, 0.885273, 1
14.7347, 0.88475, 0.877279, 5.94423, 5.94423, 0.877279, 1
15.1, 0.878135, 0.871016, 6.66761, 6.66761, 0.871758, 1
15.4856, 0.870694, 0.865247, 7.32512, 7.32512, 0.864062, 1
15.8673, 0.863852, 0.858255, 8.04141, 8.04141, 0.856523, 1
16.2448, 0.855654, 0.851341, 8.64777, 8.64777, 0.849258, 2
16.6266, 0.847723, 0.841302, 9.30579, 9.30579, 0.841302, 2
17.0043, 0.830744, 0.832253, 10.0293, 10.0293, 0.827305, 2
17.3536, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
17.7191, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
18.0768, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
18.4548, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
18.8449, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
19.239, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
19.5923, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
19.9539, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
20.3154, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
20.6851, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
21.0671, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
21.4124, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
21.7942, 0.816417, 0.806719, 10.3293, 10.3293, 0.806719, 2
22.1881, 0.814388, 0.806719, 10.5045, 10.5045, 0.80638, 2
