Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.358956, 1, 1, 0, 0, 1, 0
0.724522, 1, 1, 0, 0, 1, 0
1.06161, 0.964656, 1, 0, 0, 0.943815, 0
1.44345, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.81716, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.21488, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.59216, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.94111, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.33497, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.72076, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.09843, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.46776, 0.957702, 0.943815, 0.124263, 0.124263, 0.941471, 0
4.85355, 0.937142, 0.934674, 0.840384, 0.840384, 0.931693, 0
5.21488, 0.92249, 0.916432, 1.49823, 1.49823, 0.914479, 0
5.60473, 0.913475, 0.909245, 2.15603, 2.15603, 0.909245, 0
5.98237, 0.907548, 0.903971, 2.81387, 2.81387, 0.903281, 0
6.34367, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
6.68058, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
7.02167, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
7.36665, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
7.71576, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
8.08087, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
8.45035, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
8.84426, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
9.2017, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
9.58734, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
9.92455, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
10.2698, 0.903131, 0.897617, 2.99656, 2.99656, 0.897617, 0
10.6435, 0.903044, 0.897422, 3.28077, 3.28077, 0.897422, 0
11.0211, 0.900046, 0.895404, 3.87581, 3.87581, 0.894727, 0
11.4028, 0.896275, 0.891263, 4.59216, 4.59216, 0.890404, 0
11.7886, 0.89224, 0.884766, 5.25731, 5.25731, 0.884766, 0
12.1864, 0.886108, 0.87862, 5.97352, 5.97352, 0.877044, 0
12.5478, 0.879417, 0.87276, 6.60172, 6.60172, 0.870872, 0
12.9376, 0.874979, 0.868659, 7.25949, 7.25949, 0.868112, 0
13.3231, 0.869931, 0.864232, 7.85851, 7.85851, 0.862214, 0
13.7086, 0.862346, 0.85737, 8.5816, 8.5816, 0.854961, 0
14.0902, 0.842006, 0.841602, 9.21237, 9.21237, 0.825013, 0
14.4353, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
14.7885, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
15.1459, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
15.5113, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
15.8849, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
16.2708, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
16.6161, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
16.9898, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
17.3675, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
17.7454, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
18.1028, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
18.4806, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
18.8418, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
19.2112, 0.815515, 0.804844, 9.5941, 9.5941, 0.804844, 0
19.5889, 0.813958, 0.804844, 9.77672, 9.77672, 0.804271, 0
19.9868, 0.811294, 0.802096, 10.6138, 10.6138, 0.802096, 0
20.3847, 0.808581, 0.798711, 11.3301, 11.3301, 0.798711, 0
20.742, 0.804467, 0.796042, 11.8709, 11.8709, 0.795417, 0
21.1197, 0.795233, 0.787943, 12.653, 12.653, 0.784805, 0
21.4687, 0.783837, 0.771953, 13.1938, 13.1938, 0.774714, 0
21.8382, 0.775025, 0.766628, 13.793, 13.793, 0.765391, 0
22.1833, 0.768288, 0.758294, 14.4507, 14.4507, 0.755156, 0
22.5365, 0.758848, 0.747227, 15.0498, 15.0498, 0.747227, 0
22.8815, 0.748838, 0.735495, 15.415, 15.415, 0.735495, 0
23.255, 0.748838, 0.735495, 15.415, 15.415, 0.735495, 0
23.6448, 0.748838, 0.735495, 15.415, 15.415, 0.735495, 0
24.0305, 0.748838, 0.735495, 15.415, 15.415, 0.735495, 0
24.3714, 0.748838, 0.735495, 15.415, 15.415, 0.735495, 0
24.7246, 0.748838, 0.735495, 15.415, 15.415, 0.735495, 0
25.0738, 0.748838, 0.735495, 15.415, 15.415, 0.735495, 0
25.4353, 0.748838, 0.735495, 15.415, 15.415, 0.735495, 0
25.817, 0.748838, 0.735495, 15.415, 15.415, 0.735495, 0
