Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
30.5905, 0.729244, 0.719714, 19.9644, 19.9644, 0.719049, 0
30.9314, 0.726054, 0.715469, 20.5636, 20.5636, 0.715469, 0
31.2768, 0.723, 0.712266, 21.2802, 21.2802, 0.712266, 0
31.6221, 0.720137, 0.710247, 21.8214, 21.8214, 0.709818, 0
31.992, 0.716969, 0.706419, 22.487, 22.487, 0.706419, 0
32.3495, 0.713667, 0.70263, 23.0867, 23.0867, 0.702174, 0
32.6868, 0.708435, 0.699193, 23.6798, 23.6798, 0.699193, 0
33.0768, 0.7055, 0.696419, 24.3378, 24.3378, 0.695729, 0
33.4261, 0.702937, 0.693398, 24.8791, 24.8791, 0.692943, 0
33.7795, 0.699027, 0.689961, 25.417, 25.417, 0.689961, 0
34.149, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
34.5349, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
34.8719, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
35.2617, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
35.6555, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
36.0575, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
36.4351, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
36.8005, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
37.2066, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
37.5884, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
37.954, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
38.3277, 0.688942, 0.67819, 25.7167, 25.7167, 0.67819, 0
38.6731, 0.688069, 0.678021, 26.2507, 26.2507, 0.677487, 0
39.0184, 0.687117, 0.677031, 26.7918, 26.7918, 0.677031, 0
39.38, 0.684452, 0.675339, 27.4501, 27.4501, 0.67487, 0
39.7253, 0.676946, 0.669792, 28.057, 28.057, 0.667135, 0
40.1195, 0.654658, 0.647969, 28.7738, 28.7738, 0.647969, 0
40.4608, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
40.8588, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
41.2366, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
